事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
飞夺泸定桥,,飞夺泸定桥，是中国工农红军长征中的一场重要战役。1935年5月25日，中央红军长征先头部队红1军团第1师第1团一部在四川省安顺场强渡大渡河成功后，蒋介石急调川军2个旅增援泸定桥。中央革命军事委员会为迅速渡过大渡河，挫败国民党军前后夹击红军的企图，决定红1军团第1师及干部团由安顺场继续渡河，沿大渡河左岸北上，主力由安顺场沿大渡河右岸北上，两路夹河而进，火速夺占泸定桥。29日16时，红4团第2连连长廖大珠等22名突击队员，在全团火力掩护下冒着川军的密集火力，攀踏着铁索，向对岸冲击，当接近桥头时，川军突然施放火障，突击队勇敢地穿过火墙，迅速歼灭守桥之敌，并掩护后续部队占领了泸定城。川军一部被歼，其余向天全溃逃。与此同时，红1师和干部团击溃川军的阻击，胜利到达泸定城，策应了红4团的夺桥战斗。接着，中央红军主力从泸定桥上越过天险大渡河，粉碎了蒋介石歼灭红军于大渡河以南的企图。,1935年5月29日,四川,战役事件,"杨成武,廖大珠",红一方面军,,,,,,,,,
《中国苏维埃政府、中国共产党中央为抗日救国告全体同胞书》,八一宣言,1935年8月1日，中国共产党驻共产国际代表团草拟了《中国苏维埃政府、中国共产党中央为抗日救国告全体同胞书》（即《八一宣言》），10月1日以中华苏维埃共和国中央政府和中国共产党中央委员会的名义在法国巴黎出版的《救国报》上发表。宣言号召全国人民团结起来，停止内战，抗日救国，组织国防政府和抗日联军。这个宣言对推动抗日统一战线工作和抗日救亡运动，起了积极作用。,1935年8月1日,莫斯科,文献事件,王明,中共驻共产国际代表团,,,,,,,,,
抗日救亡运动,一二·九运动,"北平（北京）大中学生数千人举行了抗日救国示威游行，反对华北自治，反抗日本帝国主义，要求保全中国领土的完整，掀起全国抗日救国新高潮。12月12日，北平学生举行第5次示威游行，高呼""援助绥远抗战""、"" 各党派联合起来""等口号。这是中国共产党领导的一次大规模学生爱国运动。",1935年12月9日,北京,运动事件,,,“停止内战，一致对外”,,,,,,,,
瓦窑堡会议,,1935年7月，共产国际召开第七次代表大会，制定了建立反法西斯统一战线的战略方针。根据会议精神，中共驻共产国际代表团以中华苏维埃共和国中央政府和中共中央的名义，起草并发表了《为抗日救国告全体同胞书》（通常称为《八一宣言》）。11月中旬，张浩从莫斯科回国抵达陕北，向中共中央传达上述会议和文件的精神。12月17日至25日，中共中央在陕西安定（今子长）瓦窑堡召开政治局会议，讨论全国的政治形势和党的策略路线、军事战略问题，通过《中央关于目前政治形势与党的任务决议》。12月27日，毛泽东在党的活动分子会议上作题为《论反对日本帝国主义的策略》的报告。瓦窑堡会议决议和毛泽东的报告，分析了日本侵略者打进中国之后社会各阶级之间相互关系的变化，明确提出党的基本策略任务是建立广泛的抗日民族统一战线，完成党的政治路线的转变。,1935年12月17日至25日,陕西,会议事件,,中央政治局,确定抗日民族统一战线的策略方针,,,,,,,,
东征战役,,东征战役是土地革命战争时期，中国工农红军第一方面军由陕甘苏区东渡黄河，对山西省境内国民党军的战略性进攻战役。,1936年2月18日-1936年5月2日,山西,战役事件,,"红一方面军,国民党军",,,,,,,,,
西征战役,,土地革命战争时期，中国工农红军第一方面军对陕西、甘肃、宁夏3省边界地区的国民党军进行的战略性进攻战役。,1936年5月27日-1936年7月,"陕西,宁夏,甘肃",战役事件,,"中央红军,国民党军",,,,,,,,,
西安事变,双十二事变,为挽救民族危亡、劝谏蒋介石改变“攘外必先安内”的既定国策、停止内战一致抗日，张学良、杨虎城毅然在临潼对蒋介石实行“兵谏”，扣留来陕督战的蒋介石，发动了震惊中外的“西安事变”，亦称双十二事变。提出抗日救国八项政治主张，逼蒋介石抗日。1936年12月25日，在中共中央和周恩来等人的努力下，蒋介石接受“停止内战、联共抗日”等六项主张，为“西安事变”的和平解决奠定了基础。,1936年12月12日,陕西,战役事件,"张学良,杨虎城,周恩来",,,,,,,,,,
中国共产党苏区代表会议,,中共中央先后召开党的苏区代表会议和党的白区代表会议，进一步总结历史经验，明确党在抗日战争时期的任务。,1937年5月2日-1937年5月14日,陕西,会议事件,"毛泽东,张闻天,博古,朱德,张国焘,刘少奇",,,,,,,,,,
中国共产党白区代表会议,,中共中央先后召开党的苏区代表会议和党的白区代表会议，进一步总结历史经验，明确党在抗日战争时期的任务。,1937年5月17日-1937年6月10日,陕西,会议事件,"朱德,刘少奇",,,,,,,,,,
卢沟桥事变,七七事变,日本侵略军发动卢沟桥事变（七七事变），当地中国驻军奋起抵抗。8日，中共中央向全国发出通电，指出：“平津危急！华北危急！中华民族危急！只有全民族实行抗战，才是我们的出路！”卢沟桥事变标志着日本帝国主义发动了全面侵华战争，也标志着中国人民抗日战争的全面爆发，即全国抗战的开始。中国的全民族抗战在世界东方开辟了第一个大规模反法西斯战场。,1937年7月7日,河北,战役事件,,,,,,,,,,,
《实践论》,,毛泽东撰写《辩证法唯物论（讲授提纲）》中的《实践论》和《矛盾统一法则》（后改为《矛盾论》）。,1937年7月,,文献事件,毛泽东,,,,,,,,,,
《矛盾论》,《矛盾统一法则》,毛泽东撰写《辩证法唯物论（讲授提纲）》中的《实践论》和《矛盾统一法则》（后改为《矛盾论》）。,1937年8月,,文献事件,毛泽东,,,,,,,,,,
淞沪会战,,八一三战役、第二次淞沪抗战,1937年8月13日-1937年11月12日,上海,战役事件,"蒋介石,陈诚",,,,,,,,,,
洛川会议,,会议指出，必须坚持统一战线中无产阶级的领导权，在敌人后方放手发动独立自主的山地游击战争，在国民党统治区放手发动抗日的群众运动。会议通过《中国共产党抗日救国十大纲领》和《中共中央关于目前形势与党的任务的决定》，标志着党的全面抗战路线的正式形成。会议决定成立中共中央革命军事委员会，毛泽东为书记（亦称主席），朱德、周恩来为副书记（亦称副主席）。,1937年8月22日-1937年8月25日,陕西,会议事件,"毛泽东,周恩来,博古,朱德,张国焘,任弼时,彭德怀",,,,,,,,,,
国民革命军第八路军成立,,中共中央革命军事委员会发布命令，宣布红军改名为国民革命军第八路军（简称八路军），下辖三个师，全军约4.6万人。红军前敌总指挥部改为第八路军总指挥部，朱德任总指挥，彭德怀任副总指挥。之后，党在南方八省的红军游击队（琼崖红军游击队除外），改编为国民革命军陆军新编第四军（简称新四军），下辖四个支队，全军约1.03万人。叶挺任军长，项英任副军长。,1937年8月25日,,成立事件,,,,,,,,,,,
《中共中央为公布国共合作宣言》发表,,,1937年9月22日,,文献事件,,,,,,,,,,,
平型关大捷,,八路军第一一五师主力在晋东北取得平型关大捷，歼灭日军1000余人，打破了日军“不可战胜”的神话。,1937年9月25日,山西,战役事件,"林彪,聂荣臻",八路军,,,,,,,,,
忻口战役,,八路军配合国民党军队进行忻口战役，相继取得雁门关伏击战、夜袭阳明堡日军机场等胜利。,1937年10月13日 - 1937年11月2日,山西,战役事件,"卫立煌,阎锡山,朱德",,,,,,,,,,
雁门关伏击战,,,1937年10月18日-1937年10月21日,山西,战役事件,,八路军,,,,,,,,,
夜袭阳明堡日军机场,,,1937年10月19日,山西,战役事件,,八路军,,,,,,,,,
晋察冀边区临时行政委员会成立,,晋察冀边区临时行政委员会在冀西阜平成立。这是由中国共产党领导建立的敌后第一个统一战线性质的抗日民主政权。,1938年1月10日,河北,成立事件,,,,,,,,,,,
八路军香港办事处成立,粤华公司,八路军香港办事处成立，对外称“粤华公司”。广泛联系海外华侨、港澳同胞和国际力量开展抗日斗争,1938年1月,,成立事件,,,,,,,,,,,
《关于大量发展党员的决议》,,中共中央发出《关于大量发展党员的决议》。到1938年底，全国党员人数从全民族抗战开始时的4万多发展到50余万。,1938年3月15日,,文献事件,,,,,,,,,,,
台儿庄大捷,台儿庄战役、鲁南会战,,1938年3月16日,山东,战役事件,"李宗仁,白崇禧,孙连仲,汤恩伯",,,,,,,,,,
《论持久战》,,毛泽东作《论持久战》的长篇讲演，指出：日本是帝国主义强国，中国是半殖民地半封建弱国；日本的侵略战争是退步的、野蛮的，中国的反侵略战争是进步的、正义的；日本是个小国，经不起长期战争，中国是个大国，能够支持长期战争；日本的非正义战争失道寡助，中国的正义战争得道多助。第一点决定了日本的进攻能在中国横行一时，中国不能速胜；后三点决定了中国不会亡国，经过长期抗战，最后胜利属于中国。《论持久战》系统阐明了党的抗日持久战战略总方针，是中国共产党领导抗日战争的纲领性文献。,1938年5月26日-1938年6月3日,陕西,文献事件,毛泽东,,党的抗日持久战战略总方针,,,,,,,,
中共扩大的六届六中全会召开,,中共扩大的六届六中全会在延安召开。全会首次提出马克思主义中国化的命题，重申个人服从组织、少数服从多数、下级服从上级、全党服从中央的纪律，正确分析抗日战争的形势，规定党在抗战新阶段的任务，为实现党对抗日战争的领导进行了全面的战略规划，进一步巩固毛泽东在全党的领导地位，统一全党的思想和步调，推动各项工作迅速发展。,1938年9月29日－1938年11月6日,陕西,会议事件,毛泽东,,,,,,,,,,
中共中央南方局成立,,中共中央南方局在重庆成立，周恩来为书记（1943年6月改由董必武主持工作），负责领导南方国民党统治区和部分沦陷区及海外党组织，以及在此范围内设立的八路军、新四军办事处，《新华日报》、《群众》周刊社等公开机构。南方局坚持贯彻抗战、团结、进步的方针，广泛开展统战等各方面工作,1939年1月6日,重庆,成立事件,周恩来,,,,,,,,,,
